"Subtype","N","Events","HR","HR_lower","HR_upper","Cox_p","Logrank_p"
"Luminal A",450,155,1.28590465042347,0.935901339900169,1.76680030200307,0.12083172352071,0.119885438562417
"Luminal B",279,133,1.00118563408146,0.704824224801165,1.4221597933497,0.994720638507222,0.994290275506746
"HER2+",103,54,1.09955132625697,0.632190255393695,1.91241973244362,0.736816409462706,0.736722119807302
"Basal/Triple-negative",218,87,1.05887373636423,0.642533219398869,1.74498929504518,0.822408674972184,0.822849918966576
